date,close,high,low,open,volume,symbol,market_cap
2023-06-21,0.287,0.288632,0.269398,0.27033,3.4364486e+08,ADA,3.5e+10
2023-06-22,0.290313,0.3043,0.286179,0.286986,3.4049354e+08,ADA,3.5e+10
2023-06-23,0.296482,0.302238,0.288063,0.290343,2.4500216e+08,ADA,3.5e+10
2023-06-24,0.290012,0.297266,0.285937,0.296485,2.0815523e+08,ADA,3.5e+10
2023-06-25,0.292325,0.303087,0.289118,0.290002,2.2572933e+08,ADA,3.5e+10
2023-06-26,0.280354,0.29246,0.278255,0.292309,2.1121005e+08,ADA,3.5e+10
2023-06-27,0.28652,0.289108,0.279331,0.280354,1.966006e+08,ADA,3.5e+10
2023-06-28,0.267169,0.286785,0.26491,0.286526,2.773048e+08,ADA,3.5e+10
2023-06-29,0.275564,0.27787,0.267008,0.267162,1.9576445e+08,ADA,3.5e+10
2023-06-30,0.286956,0.29831,0.272654,0.275505,5.1753706e+08,ADA,3.5e+10
2023-07-01,0.29234,0.292808,0.28275,0.286957,2.2753198e+08,ADA,3.5e+10
2023-07-02,0.292055,0.293093,0.287769,0.292352,1.9347214e+08,ADA,3.5e+10
2023-07-03,0.296311,0.299309,0.291165,0.292042,1.9636787e+08,ADA,3.5e+10
2023-07-04,0.292615,0.300948,0.29129,0.296334,2.3460474e+08,ADA,3.5e+10
2023-07-05,0.284471,0.2956,0.28129,0.29262,2.3154898e+08,ADA,3.5e+10
2023-07-06,0.2797,0.293353,0.277093,0.284462,2.8826006e+08,ADA,3.5e+10
2023-07-07,0.284525,0.285217,0.277954,0.279656,2.0845304e+08,ADA,3.5e+10
2023-07-08,0.290651,0.292205,0.282672,0.284519,2.079649e+08,ADA,3.5e+10
2023-07-09,0.284591,0.291508,0.283767,0.290644,1.8221931e+08,ADA,3.5e+10
2023-07-10,0.287991,0.292586,0.279614,0.284598,2.5798787e+08,ADA,3.5e+10
2023-07-11,0.292818,0.293724,0.288,0.288,1.9840038e+08,ADA,3.5e+10
2023-07-12,0.288758,0.294845,0.285902,0.29282,1.7462963e+08,ADA,3.5e+10
2023-07-13,0.357658,0.35847,0.286445,0.28878,1.0787576e+09,ADA,3.5e+10
2023-07-14,0.328801,0.37471,0.319342,0.357485,8.521324e+08,ADA,3.5e+10
2023-07-15,0.326365,0.337371,0.325553,0.32878,2.6503179e+08,ADA,3.5e+10
2023-07-16,0.314884,0.327444,0.313647,0.326367,2.9866765e+08,ADA,3.5e+10
2023-07-17,0.312489,0.319466,0.306627,0.314893,2.7359222e+08,ADA,3.5e+10
2023-07-18,0.307399,0.31359,0.302435,0.31244,2.8702208e+08,ADA,3.5e+10
2023-07-19,0.323513,0.325842,0.307409,0.307702,4.5197773e+08,ADA,3.5e+10
2023-07-20,0.316093,0.33156,0.311345,0.32346,4.1210157e+08,ADA,3.5e+10
2023-07-21,0.313292,0.318063,0.311068,0.316045,2.0772195e+08,ADA,3.5e+10
2023-07-22,0.309772,0.31481,0.307356,0.313316,1.7906554e+08,ADA,3.5e+10
2023-07-23,0.317163,0.318527,0.308378,0.309841,1.6856021e+08,ADA,3.5e+10
2023-07-24,0.305309,0.318596,0.301431,0.31716,2.4537506e+08,ADA,3.5e+10
2023-07-25,0.304017,0.307343,0.302331,0.305307,1.7790232e+08,ADA,3.5e+10
2023-07-26,0.306641,0.3103,0.300885,0.304005,2.1175165e+08,ADA,3.5e+10
2023-07-27,0.307525,0.313025,0.305986,0.306601,1.683572e+08,ADA,3.5e+10
2023-07-28,0.310201,0.312696,0.306745,0.307519,1.4606528e+08,ADA,3.5e+10
2023-07-29,0.312765,0.314248,0.309265,0.310197,1.5082286e+08,ADA,3.5e+10
2023-07-30,0.315633,0.317806,0.307379,0.312757,1.8441957e+08,ADA,3.5e+10
2023-07-31,0.307488,0.31772,0.306895,0.315582,1.931099e+08,ADA,3.5e+10
2023-08-01,0.309951,0.309951,0.299127,0.307485,2.5535688e+08,ADA,3.5e+10
2023-08-02,0.299389,0.311268,0.299013,0.309998,2.2542832e+08,ADA,3.5e+10
2023-08-03,0.292576,0.301024,0.290919,0.299393,3.0820266e+08,ADA,3.5e+10
2023-08-04,0.293388,0.296881,0.290899,0.292519,2.0905922e+08,ADA,3.5e+10
2023-08-05,0.293629,0.293665,0.290466,0.293388,1.713769e+08,ADA,3.5e+10
2023-08-06,0.292082,0.295314,0.290798,0.293634,1.624995e+08,ADA,3.5e+10
2023-08-07,0.290296,0.295184,0.284406,0.29208,2.6182946e+08,ADA,3.5e+10
2023-08-08,0.297745,0.302092,0.289615,0.290309,3.2544275e+08,ADA,3.5e+10
2023-08-09,0.30114,0.301882,0.296489,0.297773,2.376561e+08,ADA,3.5e+10
2023-08-10,0.29613,0.301333,0.296091,0.301158,1.9364506e+08,ADA,3.5e+10
2023-08-11,0.29345,0.297167,0.292524,0.296147,1.3486379e+08,ADA,3.5e+10
2023-08-12,0.291837,0.294329,0.291076,0.293448,1.1609086e+08,ADA,3.5e+10
